Date,Open,High,Low,Close,Adj Close,Volume
13 April 2020,1646,1703.650024,1602.849976,1680.849976,1676.803345,2586159
15 April 2020,1703.650024,1736.75,1683.800049,1718.199951,1714.063354,2508270
16 April 2020,1691,1752.300049,1684.75,1743.099976,1738.903442,1821296
17 April 2020,1763,1783.699951,1727.099976,1756.25,1752.021851,1398686
20 April 2020,1758.25,1758.650024,1705.650024,1730.449951,1726.283813,1431055
21 April 2020,1710,1753.949951,1700,1726,1721.844604,1594930
22 April 2020,1717.099976,1822,1712.25,1813,1808.635132,3727805
23 April 2020,1807,1845.400024,1801.050049,1821.650024,1817.264282,2573552
24 April 2020,1815.050049,1842.800049,1814,1827.550049,1823.150269,2744768
27 April 2020,1840,1859.800049,1818.099976,1851.349976,1846.892822,1770889
28 April 2020,1847.199951,1864,1806.300049,1824.400024,1820.00769,1934910
29 April 2020,1846.900024,1847,1755.900024,1767.5,1763.244751,2931120
30 April 2020,1795,1797,1741,1758.699951,1754.46582,2926333
04 May 2020,1718,1751,1671.5,1676.800049,1672.763062,2942397
05 May 2020,1681,1692.900024,1578.25,1619.150024,1615.251953,5867890
06 May 2020,1615,1638.699951,1577,1610.650024,1606.772339,3937921
07 May 2020,1609.949951,1628.699951,1545.199951,1594.300049,1590.46167,5256213
08 May 2020,1611.800049,1638,1570,1578.400024,1574.599976,5644426
11 May 2020,1583,1599,1555,1569.599976,1565.821167,3767646
12 May 2020,1539,1543.75,1512,1523.349976,1519.682495,4504073
13 May 2020,1579.800049,1579.800049,1533.349976,1563.300049,1559.536377,2940514
14 May 2020,1553.300049,1557.599976,1517,1522.400024,1518.734863,2592264
15 May 2020,1529,1560,1510,1552.949951,1549.211304,2860493
18 May 2020,1558,1558.550049,1498.099976,1501.099976,1497.486084,2871905
19 May 2020,1510,1516.949951,1482.949951,1503.949951,1500.329102,3164137
20 May 2020,1503.949951,1514,1492.650024,1500.050049,1496.438599,2057402
21 May 2020,1503,1583.5,1501,1574.300049,1570.509888,3845743
22 May 2020,1568.800049,1625,1555.400024,1617.900024,1614.005005,5203736
26 May 2020,1625,1656.949951,1620,1629.849976,1625.926025,3552636
27 May 2020,1631,1636.849976,1595.949951,1619.449951,1615.551025,2260057
28 May 2020,1622,1656.949951,1615.25,1643.599976,1639.643066,3138915
29 May 2020,1639,1699,1633.099976,1683.099976,1679.047852,3532977
01 June 2020,1706.5,1711.900024,1681.5,1693.25,1689.173462,2529255
02 June 2020,1693.25,1733,1680,1709.300049,1705.184814,2440552
03 June 2020,1724,1744,1705.849976,1716.550049,1712.41748,3088817
04 June 2020,1716.449951,1719.599976,1627,1633.75,1629.816772,4388930
05 June 2020,1650,1659.349976,1621,1638.550049,1634.605225,2884206
08 June 2020,1657,1666,1629,1634.25,1630.31543,2046505
09 June 2020,1640,1695,1636.75,1642.050049,1638.096802,3671930
10 June 2020,1648,1675.099976,1627.900024,1635.949951,1632.011353,2069280
11 June 2020,1635.949951,1646,1607,1610.599976,1606.722412,1888420
12 June 2020,1580,1642.949951,1577.5,1637.349976,1633.408081,2391556
15 June 2020,1629,1650.650024,1602.099976,1618.199951,1614.304077,1681166
16 June 2020,1639,1640.25,1607.650024,1621.699951,1617.795654,1497691
17 June 2020,1607.550049,1622.650024,1590.400024,1595.400024,1591.559082,1812788
18 June 2020,1595.400024,1612.199951,1587.300049,1597.800049,1593.953369,1417273
19 June 2020,1597.800049,1630,1591.050049,1622.5,1618.59375,2714342
22 June 2020,1633,1673.5,1624,1652.150024,1648.172485,2034739
23 June 2020,1659.849976,1689,1641,1683.900024,1679.845947,2334863
24 June 2020,1684,1813.75,1684,1747.25,1743.043457,11545923
25 June 2020,1740,1747,1683.150024,1689,1684.933716,4054785
26 June 2020,1710,1710.349976,1670.699951,1686.75,1682.689087,2129986
29 June 2020,1687,1708.449951,1674.050049,1691.949951,1687.876587,2753482
30 June 2020,1708.900024,1718,1681.650024,1687.449951,1683.387329,1960731
01 July 2020,1698,1698,1680.050049,1688,1683.936035,1661296
02 July 2020,1700,1704,1660.099976,1686.449951,1682.389893,2038399
03 July 2020,1695.400024,1720,1690,1695.650024,1691.567749,1988941
06 July 2020,1708.949951,1712,1692.150024,1708.849976,1704.735962,1236670
07 July 2020,1708.949951,1749.900024,1705.849976,1745.75,1741.547119,2983260
08 July 2020,1750,1761.800049,1680.050049,1686.25,1682.190308,2725937
09 July 2020,1694,1722,1692.099976,1717.25,1713.115723,1904661
